xflr5 v6.62

Plane name :        CLARK Y
Polar name :        T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.225294   0.004249   0.008243   0.012491  -0.000000   0.000000  -0.136304   0.000000   0.000000   20.0000     0.3025
    1.000     0.000   0.289728   0.006823   0.007694   0.014518  -0.000000   0.000000  -0.151359  -0.000000  -0.000000   20.0000     0.2609
    2.000     0.000   0.353962   0.010031   0.007039   0.017070  -0.000000  -0.000000  -0.166347   0.000000   0.000000   20.0000     0.2346
    3.000     0.000   0.417944   0.013864   0.006556   0.020420  -0.000000   0.000000  -0.181252  -0.000000   0.000000   20.0000     0.2164
    4.000     0.000   0.481619   0.018313   0.006449   0.024762  -0.000000  -0.000000  -0.196061   0.000000  -0.000000   20.0000     0.2031
    5.000     0.000   0.544939   0.023367   0.006495   0.029861  -0.000000  -0.000000  -0.210758  -0.000000  -0.000000   20.0000     0.1929
    6.000     0.000   0.607850   0.029011   0.006675   0.035686  -0.000000   0.000000  -0.225324   0.000000   0.000000   20.0000     0.1850
    7.000     0.000   0.670303   0.035231   0.006993   0.042224  -0.000000   0.000000  -0.239746  -0.000000   0.000000   20.0000     0.1786
    8.000     0.000   0.732250   0.042010   0.007534   0.049544  -0.000000  -0.000000  -0.254009   0.000000   0.000000   20.0000     0.1734
    9.000     0.000   0.793641   0.049329   0.008103   0.057432  -0.000000   0.000000  -0.268092  -0.000000  -0.000000   20.0000     0.1691
   10.000     0.000   0.854429   0.057168   0.008625   0.065793  -0.000000  -0.000000  -0.281974  -0.000000  -0.000000   20.0000     0.1654
   11.000     0.000   0.914569   0.065504   0.009130   0.074634  -0.000000  -0.000000  -0.295641  -0.000000  -0.000000   20.0000     0.1623
   12.000     0.000   0.974016   0.074315   0.009653   0.083968  -0.000000  -0.000000  -0.309075  -0.000000  -0.000000   20.0000     0.1597
   13.000     0.000   1.032725   0.083574   0.010282   0.093856  -0.000000  -0.000000  -0.322268  -0.000000  -0.000000   20.0000     0.1574
   14.000     0.000   1.090656   0.093257   0.011386   0.104643  -0.000000  -0.000000  -0.335225  -0.000000  -0.000000   20.0000     0.1554
   15.000     0.000   1.147768   0.103334   0.012680   0.116014  -0.000000   0.000000  -0.347920   0.000000   0.000000   20.0000     0.1537


