xflr5 v6.62

Plane name :        EE334
Polar name :        T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.072157   0.000756   0.034215   0.034971   0.000000   0.000000  -0.031565   0.000000   0.000000   20.0000    -0.2243
   -3.500     0.000  -0.039718   0.000487   0.029743   0.030230   0.000000   0.000000  -0.039205   0.000000   0.000000   20.0000    -0.5022
   -3.000     0.000  -0.007263   0.000380   0.025199   0.025579   0.000000   0.000000  -0.046842   0.000000  -0.000000   20.0000    -3.2641
   -2.500     0.000   0.025202   0.000434   0.022602   0.023037   0.000000   0.000000  -0.054451   0.000000  -0.000000   20.0000     1.0898
   -2.000     0.000   0.057669   0.000651   0.019792   0.020443   0.000000   0.000000  -0.062060   0.000000  -0.000000   20.0000     0.5414
   -1.500     0.000   0.090133   0.001030   0.016739   0.017769   0.000000   0.000000  -0.069667   0.000000   0.000000   20.0000     0.3880
   -1.000     0.000   0.122586   0.001571   0.014117   0.015688  -0.000000   0.000000  -0.077265   0.000000   0.000000   20.0000     0.3159
   -0.500     0.000   0.155021   0.002274   0.012628   0.014902  -0.000000   0.000000  -0.084852   0.000000  -0.000000   20.0000     0.2740
    0.000     0.000   0.187432   0.003139   0.011756   0.014894  -0.000000   0.000000  -0.092433   0.000000   0.000000   20.0000     0.2466
    0.500     0.000   0.219813   0.004164   0.011033   0.015197  -0.000000   0.000000  -0.100011   0.000000   0.000000   20.0000     0.2273
    1.000     0.000   0.252156   0.005350   0.009978   0.015328  -0.000000   0.000000  -0.107580  -0.000000   0.000000   20.0000     0.2129
    1.500     0.000   0.284456   0.006696   0.008891   0.015587  -0.000000   0.000000  -0.115139   0.000000  -0.000000   20.0000     0.2019
    2.000     0.000   0.316704   0.008201   0.008539   0.016739  -0.000000  -0.000000  -0.122691   0.000000   0.000000   20.0000     0.1931
    2.500     0.000   0.348895   0.009864   0.008505   0.018369  -0.000000  -0.000000  -0.130235   0.000000   0.000000   20.0000     0.1860
    3.000     0.000   0.381022   0.011684   0.008508   0.020192  -0.000000   0.000000  -0.137767  -0.000000  -0.000000   20.0000     0.1800
    3.500     0.000   0.413078   0.013660   0.008533   0.022193  -0.000000  -0.000000  -0.145284  -0.000000  -0.000000   20.0000     0.1751
    4.000     0.000   0.445058   0.015790   0.008576   0.024367  -0.000000  -0.000000  -0.152785   0.000000   0.000000   20.0000     0.1708
    4.500     0.000   0.476953   0.018074   0.008606   0.026680  -0.000000  -0.000000  -0.160266  -0.000000   0.000000   20.0000     0.1672
    5.000     0.000   0.508759   0.020509   0.008622   0.029131  -0.000000  -0.000000  -0.167725   0.000000   0.000000   20.0000     0.1640
    5.500     0.000   0.540469   0.023094   0.008655   0.031750  -0.000000  -0.000000  -0.175161  -0.000000  -0.000000   20.0000     0.1612
    6.000     0.000   0.572075   0.025828   0.008710   0.034538  -0.000000  -0.000000  -0.182572   0.000000   0.000000   20.0000     0.1587
    6.500     0.000   0.603573   0.028708   0.008777   0.037485  -0.000000  -0.000000  -0.189954   0.000000  -0.000000   20.0000     0.1565
    7.000     0.000   0.634955   0.031732   0.008862   0.040594  -0.000000   0.000000  -0.197307   0.000000   0.000000   20.0000     0.1546
    7.500     0.000   0.666215   0.034899   0.008922   0.043821  -0.000000  -0.000000  -0.204626   0.000000   0.000000   20.0000     0.1528
    8.000     0.000   0.697348   0.038206   0.008974   0.047180  -0.000000  -0.000000  -0.211910  -0.000000  -0.000000   20.0000     0.1512
    8.500     0.000   0.728347   0.041650   0.009023   0.050673  -0.000000  -0.000000  -0.219157   0.000000  -0.000000   20.0000     0.1498
    9.000     0.000   0.759206   0.045230   0.009072   0.054302  -0.000000  -0.000000  -0.226365   0.000000   0.000000   20.0000     0.1485
    9.500     0.000   0.789920   0.048942   0.009127   0.058069  -0.000000  -0.000000  -0.233531  -0.000000  -0.000000   20.0000     0.1473
   10.000     0.000   0.820482   0.052785   0.009199   0.061984  -0.000000  -0.000000  -0.240654  -0.000000  -0.000000   20.0000     0.1462
   10.500     0.000   0.850886   0.056755   0.009305   0.066061  -0.000000  -0.000000  -0.247733   0.000000   0.000000   20.0000     0.1453
   11.000     0.000   0.881127   0.060850   0.009428   0.070278  -0.000000  -0.000000  -0.254765   0.000000   0.000000   20.0000     0.1444
   11.500     0.000   0.911200   0.065067   0.009529   0.074596  -0.000000  -0.000000  -0.261746   0.000000   0.000000   20.0000     0.1435
   12.000     0.000   0.941098   0.069402   0.009625   0.079027  -0.000000  -0.000000  -0.268675   0.000000   0.000000   20.0000     0.1428
   12.500     0.000   0.970816   0.073853   0.009715   0.083567  -0.000000  -0.000000  -0.275549   0.000000   0.000000   20.0000     0.1421
   13.000     0.000   1.000349   0.078416   0.009809   0.088224  -0.000000  -0.000000  -0.282367  -0.000000  -0.000000   20.0000     0.1415
   13.500     0.000   1.029692   0.083088   0.009920   0.093008   0.000000  -0.000000  -0.289128  -0.000000  -0.000000   20.0000     0.1409
   14.000     0.000   1.058838   0.087866   0.010075   0.097941   0.000000  -0.000000  -0.295831  -0.000000  -0.000000   20.0000     0.1403
   14.500     0.000   1.087784   0.092746   0.010239   0.102984   0.000000  -0.000000  -0.302472   0.000000   0.000000   20.0000     0.1399
   15.000     0.000   1.116524   0.097724   0.010397   0.108121   0.000000  -0.000000  -0.309049   0.000000  -0.000000   20.0000     0.1394


