xflr5 v6.62

Plane name :        MH60
Polar name :        T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.029331   0.000127   0.005742   0.005869  -0.000000   0.000000  -0.006438  -0.000000   0.000000   20.0000     0.1097
    1.000     0.000   0.093597   0.000744   0.005363   0.006107  -0.000000   0.000000  -0.021432  -0.000000  -0.000000   20.0000     0.1142
    2.000     0.000   0.157791   0.002003   0.005352   0.007354  -0.000000   0.000000  -0.036427   0.000000   0.000000   20.0000     0.1150
    3.000     0.000   0.221859   0.003900   0.005413   0.009313  -0.000000   0.000000  -0.051405   0.000000  -0.000000   20.0000     0.1155
    4.000     0.000   0.285749   0.006430   0.005548   0.011977   0.000000   0.000000  -0.066351  -0.000000  -0.000000   20.0000     0.1157
    5.000     0.000   0.349408   0.009585   0.005740   0.015325   0.000000   0.000000  -0.081246   0.000000  -0.000000   20.0000     0.1159
    6.000     0.000   0.412784   0.013357   0.006012   0.019368   0.000000  -0.000000  -0.096073   0.000000   0.000000   20.0000     0.1161
    7.000     0.000   0.475825   0.017733   0.006351   0.024084   0.000000  -0.000000  -0.110815  -0.000000  -0.000000   20.0000     0.1163
    8.000     0.000   0.538482   0.022701   0.006728   0.029428   0.000000   0.000000  -0.125454   0.000000  -0.000000   20.0000     0.1165
    9.000     0.000   0.600703   0.028245   0.007160   0.035405   0.000000   0.000000  -0.139973   0.000000   0.000000   20.0000     0.1167
   10.000     0.000   0.662440   0.034350   0.007678   0.042028   0.000000   0.000000  -0.154356  -0.000000  -0.000000   20.0000     0.1170
   11.000     0.000   0.723644   0.040996   0.008283   0.049279   0.000000   0.000000  -0.168588   0.000000   0.000000   20.0000     0.1172
   12.000     0.000   0.784269   0.048164   0.008976   0.057140   0.000000   0.000000  -0.182652   0.000000   0.000000   20.0000     0.1175
   13.000     0.000   0.844268   0.055832   0.009768   0.065600   0.000000  -0.000000  -0.196533   0.000000  -0.000000   20.0000     0.1178
   14.000     0.000   0.903597   0.063976   0.010626   0.074602   0.000000  -0.000000  -0.210214  -0.000000  -0.000000   20.0000     0.1180
   15.000     0.000   0.962213   0.072573   0.011695   0.084267   0.000000   0.000000  -0.223686  -0.000000  -0.000000   20.0000     0.1184


