xflr5 v6.62

Plane name :        NACA4415
Polar name :        T1-20.0 m/s-VLM1
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.283105   0.006615   0.008306   0.014921  -0.000000  -0.000000  -0.170901   0.000000   0.000000   20.0000     0.3018
    0.500     0.000   0.315374   0.008112   0.008249   0.016361  -0.000000   0.000000  -0.178465  -0.000000   0.000000   20.0000     0.2828
    1.000     0.000   0.347590   0.009769   0.008180   0.017948  -0.000000  -0.000000  -0.186011  -0.000000   0.000000   20.0000     0.2673
    1.500     0.000   0.379746   0.011583   0.008037   0.019620  -0.000000  -0.000000  -0.193539   0.000000  -0.000000   20.0000     0.2544
    2.000     0.000   0.411837   0.013554   0.007866   0.021420  -0.000000  -0.000000  -0.201045  -0.000000   0.000000   20.0000     0.2436
    2.500     0.000   0.443854   0.015680   0.007687   0.023368  -0.000000  -0.000000  -0.208528  -0.000000  -0.000000   20.0000     0.2344
    3.000     0.000   0.475793   0.017961   0.007584   0.025545  -0.000000  -0.000000  -0.215985   0.000000   0.000000   20.0000     0.2264
    3.500     0.000   0.507645   0.020395   0.007525   0.027920  -0.000000  -0.000000  -0.223415  -0.000000  -0.000000   20.0000     0.2195
    4.000     0.000   0.539406   0.022980   0.007518   0.030498  -0.000000  -0.000000  -0.230816  -0.000000  -0.000000   20.0000     0.2133
    4.500     0.000   0.571068   0.025715   0.007558   0.033273  -0.000000  -0.000000  -0.238185   0.000000  -0.000000   20.0000     0.2079
    5.000     0.000   0.602625   0.028597   0.007625   0.036223  -0.000000  -0.000000  -0.245522   0.000000  -0.000000   20.0000     0.2031
    5.500     0.000   0.634070   0.031626   0.007705   0.039332  -0.000000  -0.000000  -0.252822  -0.000000  -0.000000   20.0000     0.1988
    6.000     0.000   0.665399   0.034799   0.007793   0.042592  -0.000000  -0.000000  -0.260084   0.000000   0.000000   20.0000     0.1949
    6.500     0.000   0.696603   0.038114   0.007887   0.046001  -0.000000  -0.000000  -0.267306   0.000000   0.000000   20.0000     0.1914
    7.000     0.000   0.727678   0.041569   0.007991   0.049560  -0.000000  -0.000000  -0.274485   0.000000  -0.000000   20.0000     0.1882
    7.500     0.000   0.758617   0.045161   0.008109   0.053270  -0.000000  -0.000000  -0.281620   0.000000   0.000000   20.0000     0.1853
    8.000     0.000   0.789414   0.048888   0.008253   0.057141  -0.000000   0.000000  -0.288709   0.000000   0.000000   20.0000     0.1826
    8.500     0.000   0.820063   0.052748   0.008403   0.061150  -0.000000  -0.000000  -0.295749   0.000000   0.000000   20.0000     0.1801
    9.000     0.000   0.850558   0.056737   0.008568   0.065305  -0.000000  -0.000000  -0.302738   0.000000   0.000000   20.0000     0.1779
    9.500     0.000   0.880894   0.060854   0.008744   0.069598  -0.000000  -0.000000  -0.309675   0.000000  -0.000000   20.0000     0.1758
   10.000     0.000   0.911065   0.065094   0.008929   0.074024  -0.000000  -0.000000  -0.316557  -0.000000  -0.000000   20.0000     0.1739
   10.500     0.000   0.941065   0.069457   0.009142   0.078599  -0.000000  -0.000000  -0.323383   0.000000   0.000000   20.0000     0.1721
   11.000     0.000   0.970888   0.073937   0.009375   0.083312  -0.000000  -0.000000  -0.330151  -0.000000  -0.000000   20.0000     0.1705
   11.500     0.000   1.000530   0.078533   0.009637   0.088170  -0.000000  -0.000000  -0.336859   0.000000   0.000000   20.0000     0.1689
   12.000     0.000   1.029984   0.083240   0.009931   0.093171  -0.000000  -0.000000  -0.343505   0.000000   0.000000   20.0000     0.1675
   12.500     0.000   1.059245   0.088056   0.010272   0.098328  -0.000000  -0.000000  -0.350089   0.000000  -0.000000   20.0000     0.1662
   13.000     0.000   1.088309   0.092978   0.010716   0.103694  -0.000000  -0.000000  -0.356612  -0.000000  -0.000000   20.0000     0.1649
   13.500     0.000   1.117170   0.098001   0.011310   0.109310  -0.000000  -0.000000  -0.363075  -0.000000  -0.000000   20.0000     0.1637
   14.000     0.000   1.145824   0.103122   0.012040   0.115162  -0.000000  -0.000000  -0.369477   0.000000   0.000000   20.0000     0.1627
   14.500     0.000   1.174264   0.108338   0.012874   0.121212  -0.000000  -0.000000  -0.375814   0.000000   0.000000   20.0000     0.1616
   15.000     0.000   1.202487   0.113645   0.013867   0.127512  -0.000000  -0.000000  -0.382089  -0.000000  -0.000000   20.0000     0.1607


